"ID","Name","Project"
"1-0","General Agriculture","MEDA"
"1-1-6","Soybeans","MEDA"
"2-0","General Health","MEDA"
"2-9","Nutrition","MEDA"
"5-4","Financial Services","MEDA"
"5-5","Value Chain","MEDA"
"10-2","Gender","MEDA"
"9","Feedback from Users","MEDA"
"9-0","General Feedback","MEDA"
"9-2","Useless","MEDA"
"9-1","Needs review","MEDA"
"9-4","Agric Questions","MEDA"
"9-3","Health Questions","MEDA"
"9-5","General Questions","MEDA"
"9-6","Endorsements","MEDA"
"9-8","Potential Future Content","MEDA"
"9-9","Nice Singing","MEDA"
"9-10","Entertaining Messages","MEDA"
"0","Other Messages","MEDA"
"0-0","General Other","MEDA"
"0-3","Communities","MEDA"
"0-5","Intro Message","MEDA"
"0-4","Talking Book","MEDA"
"0-4-1","TB System","MEDA"
"0-4-2","TB Categories","MEDA"
"0-6","Deployments","MEDA"
"0-6-1","Update 1","MEDA"
"0-6-2","Update 2","MEDA"
"0-6-3","Update 3","MEDA"
"0-6-4","Update 4","MEDA"
"0-6-5","Update 5","MEDA"
"0-6-6","Update 6","MEDA"
"0-6-7","Update 7","MEDA"
"0-6-8","Update 8","MEDA"
"0-6-9","Update 9","MEDA"
"0-6-10","Update 10","MEDA"
